Frame Info: 
Type,Depth
Format,Z16
Frame Number,754
Timestamp (ms),1639349774630.73
Resolution x,640
Resolution y,360
Bytes per pixel,2

Intrinsic:,
Fx,444.597626
Fy,444.597626
PPx,318.190399
PPy,186.297256
Distorsion,Brown Conrady
